Category ;Subcategory ;Managed Services;;;IT services;;Application support;;;IT management;;Security;;;TCO optimisation;;;;;;;;where?
;;vertical;;horizontal;vertical;horizontal;vertical;;horizontal;vertical;horizontal;vertical;;horizontal;vertical;horizontal;;;;;;;
;;English;German ;;;;English;German ;;;;English;German ;;;;;;;;;;
Company Overview ;Mission, Vision, Values, Location ;About Andersen;About Andersen;About Andersen;About Andersen;;About Andersen;;;About Andersen;;About Andersen;;;About Andersen;;;;;;;;https://www.figma.com/design/c7YwSoAPkhMTfigPvVm8IY/Managed-Services?node-id=18633-2925&t=NwzAaV5uRcbfDA3w-1
;Company Experience (Industry Focused) ;Clients who entrust us;Kunden vertrauen uns;Clients who entrust us;;;;;;;;;;;;;;;;;;;
;;Customers in healthcare;;;;;;;;;;;;;;;;;;;;;https://www.figma.com/design/c7YwSoAPkhMTfigPvVm8IY/Managed-Services?node-id=10878-354&t=NwzAaV5uRcbfDA3w-1
;;Key Customers in Banking and Fintech;;;;;;;;;;;;;;;;;;;;;https://www.figma.com/design/c7YwSoAPkhMTfigPvVm8IY/Managed-Services?node-id=20221-2117&t=NwzAaV5uRcbfDA3w-1
;;Key Customers in Logistics;;;;;;;;;;;;;;;;;;;;;https://www.figma.com/design/c7YwSoAPkhMTfigPvVm8IY/Managed-Services?node-id=8852-355&t=fF6TELIeEvXpvC3C-1
;Company Capabilities and Key Facts  ;Andersen Key Facts;3 International IT Group ;Andersen Key Facts;Managed Services Provider;;Managed Services Provider;;;Our experience in Atlassian administration cloud / datacenter;;Andersen Cyber Security;;;;;;;;;;;https://www.figma.com/design/c7YwSoAPkhMTfigPvVm8IY/Managed-Services?node-id=13625-172&t=fF6TELIeEvXpvC3C-1
;;Managed Delivery;;Key Facts;;;Andersen Apps support Services;;;;;;;;;;;;;;;;
;;Service Catalog;Service Catalog;We Offer 4 Audit Types;;;;;;;;Andersen Cyber Security;Andersen Cyber Security;;;;;;;;;;
;;Support costs: Andersen vs. internal;;;;;;;;;;Secutiry Services Provider;Security Services Provider;;;;;;;;;;
;;Service Catalog ;;;;;;;;;;;;;;;;;;;;;
;;Service Transformation;Wichtige Fakten über Andersen;;;;;;;;;;;;;;;;;;;;
;;Andersen Cyber Security;Andersen Cyber Security;;;;;;;;;;;;;;;;;;;;
;;Managed Delivery Services Pillars;;Salesforce Unit;;;;;;;;;;;;;;;;;;;
;;Managed Services: Service catalog and provisioning options;;SALESFORCE CERTIFICATIONS;;;;;;;;;;;;;;;;;;;
;;Key Facts;;CLOUD EXPERTISE;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Organizational Structure;Managed Services Provider;Anbieter von Managed Services;Our IT support department;Team composition;;Managed Services Provider;Support-Team;;;;Audit Team composition ;;;;;;;;;;;
;;;;;;;24/7 service support;;;;;;;;;;;;;;;;
;;;;;;;Support team;;;;;;;;;;;;;;;;
Core Business Processes ;Recruitment Processes ;Team Members Replacement Policy;;;Team Members Replacement Policy;;Team Profile;;;Staff augmentation;;;;;Staff augmentation;;;;;;;;
;;Staff augmentation;;;;;;;;Team & Expertise;;;;;;;;;;;;;
;;Example of creating an employee card;;;;;;;;;;;;;;;;;;;;;
;HR Processes ;Team Members Replacement Policy;;;Team Members Replacement Policy;;Team Profile;;;Staff augmentation;;;;;Staff augmentation;;;;;;;;
;;Staff augmentation;;;;;;;;Team & Expertise;;;;;;;;;;;;;
;;Example of creating an employee card;;;;;;;;;;;;;;;;;;;;;
;Delivery Processes ;Solution Delivery Phases;;;Service setup phases;;Workflow - Comerzbank;;Questions list;Request Channels;;Preliminary audit plan;;Questions list;;;;;;;;;
;;Simplified workflow;;;Helpdesk Workflow;;Team composition;;;Service setup phases;;Phase 1- Key LeasePlan involvement;;;;;;;;;;;
;;Service Level Agreement;;;Technical Approach;;Service Level Agreement;;;Proposed Solution & Approach;;;;;;;;;;;;;
;;;;;Request Channels;;Simplified ticket resolution workflow;;;Service Model;;;;;;;;;;;;;
;;;;;;;Request Channels;;;Implementation Timeline;;;;;;;;;;;;;
;;;;;;;24/7 IT Batch Operation Monitoring & Support;;;Preparation activities;;;;;;;;;;;;;
;;;;;;;Technical Approach;;;Key Deliverables of Discovery and Transition;;;;;;;;;;;;;
;;;;;;;Service Transition Approach;;;Key Deliverables of Discovery and Transition;;;;;;;;;;;;;
;;;;;;;Assumptions;;;Assumptions;;;;;;;;;;;;;
;;;;;;;Shifts schedule ;;;Methodology;;;;;;;;;;;;;
;;;;;;;L2 maintenance procedures;L2 Wartungsmaßnahmen;;Phase 1- Key LeasePlan involvement;;;;;;;;;;;;;
;;;;;;;;;;Approach/Methodology;;;;;;;;;;;;;
;Internal Training and Process Slides ;;;;;;Communication Channels;;;Communication Channels;;;;;;;;;;;;;
;Client-Facing: Document Templates and Forms ;Hourly Rates;;Salesforce CRM Audit;Request Channels;;Application Support  8x5 CET;;;Preliminary budget and project timeline - Storefilter;;Proposal scope clarification;;;Hourly Rates;;;;;;;;
;;Use Case Diagram;;We Offer 4 Audit Types;;;L1 EST 8x5 - support of end -users;;;Proposal scope clarification;;Service Proposal;;;Proposal scope clarification;;;;;;;;
;;Architectural Vision;;;;;L1 EST 24x7 - support of end -users;;;Application Support  8x5 CET;;;;;Application Support  8x5 CET;;;;;;;;
;;;;Salesforce Unit;;;Service Proposal;;;L1 EST 8x5 - support of end -users;;;;;L1 EST 8x5 - support of end -users;;;;;;;;
;;;;SALESFORCE CERTIFICATIONS;;;Costs for option1/2;;;L1 EST 24x7 - support of end -users;;;;;L1 EST 24x7 - support of end -users;;;;;;;;
;;;;CLOUD EXPERTISE;;;L3 Support Package Details;;;MS Teams - Telephony options;;;;;MS Teams - Telephony options;;;;;;;;
;;;;;;;;;;Phase 2 - Ballpark;;;;;Service Proposal;;;;;;;;
;;;;;;;;;;;;;;;Phase 2 - Ballpark;;;;;;;;
Project Management ;Methodologies ;;;;Shared Help Desk Team ;;Dedicated Team;;;Implementation Timeline;;;;;;;;;;;;;
;;;;;Dedicated Team;;;;;Service Model;;;;;;;;;;;;;
;;;;;;;;;;Dedicated Team;;;;;;;;;;;;;
;;;;;;;;;;Site Development&Maintenance Service Transition;;;;;;;;;;;;;
;;;;;;;;;;Methodology;;;;;;;;;;;;;
;;;;;;;;;;Executive summary - proposed approach;;;;;;;;;;;;;
;;;;;;;;;;CIS participation and resources;;;;;;;;;;;;;
;;;;;;;;;;Key documentation for assessment;;;;;;;;;;;;;
;;;;;;;;;;Preliminary list of workshops & brief agendas ;;;;;;;;;;;;;
;;;;;;;;;;Approach/Methodology;;;;;;;;;;;;;
;Roadmaps and Communication Plans ;;;;Preliminary Release Map;;Service setup phases;;;Service setup phases;;Preliminary audit plan;;;;;;;;;;;
;;;;;Service setup phases;;Service Transition Approach;;;Methodology;;Phase 2 - Preliminary roadmap;;;;;;;;;;;
;;;;;;;;;;Executive summary - proposed approach;;;;;;;;;;;;;
;;;;;;;;;;Preliminary list of workshops & brief agendas ;;;;;;;;;;;;;
;;;;;;;;;;Phase 2 - Preliminary roadmap;;;;;;;;;;;;;
;;;;;;;;;;Discovery Phase;;;;;;;;;;;;;
;Reporting and Documentation Standards ;Reporting;;;;;Assumptions;;;Assumptions;;;;;;;;;;;;;
;;Quality Assurance;;;;;;;;Proposed Solution & Approach;;;;;;;;;;;;;
;;Secutiry Services Provider;;;;;;;;Key Deliverables of Discovery and Transition;;;;;;;;;;;;;
;;Reporting. ADEL ;;;;;;;;Key documentation for assessment;;;;;;;;;;;;;
;Feedback Handling and Objection Management ;;;;;;;;;;;;;;;;;;;;;;
;Governance and Escalation Paths ;Proposed Solution & Approach;;;Assumptions;;Team composition;;;Proposed Solution & Approach;;;;;;;;;;;;;
;;;;;;;Assumptions;;;Assumptions;;;;;;;;;;;;;
;;;;;;;Dedicated Team;;;Service Model;;;;;;;;;;;;;
;;;;;;;;;;Dedicated Team;;;;;;;;;;;;;
;;;;;;;;;;Key Deliverables of Discovery and Transition;;;;;;;;;;;;;
;;;;;;;;;;CIS participation and resources;;;;;;;;;;;;;
;Knowledge Transfer ;Proposed Solution & Approach;;;Service transition without the current vendor;;Application support and maintenance ;;Questions list;;;;;Questions list;;;;;;;;;
;Engagement Models    ;Service provisioning options;;Service provisioning options;Shared Help Desk Team ;;;;;Service Model;;;;;;;;;;;;;
;;;;Examples of Service Pricing Models;Dedicated Team;;Dedicated Team;;;Dedicated Team;;;;;MS Teams - Telephony options;;;;;;;;
Industry Specific Solution ;Industry Offerings (Capabilities, Logos, Certifications) ;Service Transformation;;;Service Transformation;;Business Context - Commerzbank;Business Case;;Examples of Our Main Features (Data Centre);;Andersen Cyber Security;;;Scope of Services;;;;;;;;
;;Managed Delivery;;;;;24/7 IT Batch Operation Monitoring & Support;;;Service Transformation;;Tailored SOC Solutions;;;;;;;;;;;
;;Managed Delivery Services Pillars;;;;;Business Context - LucidHealth;;;Andersen Support;;Business Case - Blackveil Cybersecurity;;;;;;;;;;;
;;Salesforce Unit;;;;;Scope of Services;;;Scope of Services;;Andersen Cyber Security;;;;;;;;;;;
;;SALESFORCE CERTIFICATIONS;;;;;Business Case;;;;;Scope of Services;;;;;;;;;;;
;;;;CLOUD EXPERTISE;;;;;;;;;;;;;;;;;;;
;Regulatory Requirements and Compliance Standards ;Service Level Agreement;;;SLAs;;SLAs;;;;;Audits;;;;;;;;;;;
;;;;;;;Service Level Agreement;;;;;Secutiry Services Provider;;;;;;;;;;;
;Best Practices by Industry ;;;;;;Case Studies - Sporting goods store e-commerce audit and improvements;;Recommendations list ;;;;;Threat Research & Custom Rules Creation;;;;;;;;;
;;;;;;;;;;;;;;Recommendations list ;;;;;;;;;
;Sales Battlecards ;Andersen proposal vs Internal support cost;;;;;;;;;;;;;;;;;;;;;
;Industry-Specific Case Studies ;;;;Case studies - HelpDesk services for an Air Carrier Company;;Case studies - Raiffeisen Informatik L3 support;;L2 Case study - Healthcare;Case Studies - Media Markt;;Case studies - Cybersecurity suites and API Harmonization;;;;;;;;;;;
;;;;;Case studies - HelpDesk services for a Pharmaceutical Supply Company;;Case Studies - Sporting goods store e-commerce audit and improvements;;L3 Case study - Healthcare;Case studies - UI and UX audit for a telco customer;;;;;;;;;;;;;
;;;;;Case studies - HelpDesk services for a Software Development Company;;Case Studies - Tourist services website works;;L3 Case study - Banking;Case Studies - Staff augmentation for an advanced online store;;;;;;;;;;;;;
;;;;;Case studies - 24/7 IT Operation Services for Freedom Finance;;Case Studies - Online car dealerships Shopify audit and enhancements;;;Case Studies - Riedel Wine Experience;;;;;;;;;;;;;
;;;;;;;;;;Case Studies - QA processes review and improvement plan;;;;;;;;;;;;;
Cross-Functional Expertise ;Customer  Application Development ;;;;;;Approach/Methodology;;;Case Studies - Riedel Wine Experience;;;;;;;;;;;;;
;;;;;;;;;;Approach/Methodology;;;;;;;;;;;;;
;QA ;Quality Assurance;;;;;;;;Case Studies - QA processes review and improvement plan;;;;;;;;;;;;;
;DevOps and SRE ;DEVOPS SERVICES;;;;;;;;;;;;;;;;;;;;;
;Cloud Engineering ;;;CLOUD EXPERTISE;;;;;;;;;;;;;;;;;;;
;Security ;Secutiry Services Provider;Security Services Provider;Andersen Cyber Security;;;;;;;;;;;;;;;;;;;
;Design (UX/UI) ;;;;;;;;;Case studies - UI and UX audit for a telco customer;;;;;;;;;;;;;
;Data and Analytics AI ;;;;;;;;;;;;;;;;;;;;;;
;Support and IT Operations ;Application support and maintenance ;;;Andersen Help desk;;Andersen L1 Support;;;;;;;;;;;;;;;;
;;SLAs;SLA;;Incident Severity definition;;Dedicated L1 Support Team ;;;;;;;;;;;;;;;;
;;Service Level Agreement;;;;;Team composition;;;;;;;;;;;;;;;;
;;24/7 IT Batch Operation Monitoring & Support;;;;;SLAs;SLA;;;;;;;;;;;;;;;
;;Support Services;;;;;Service Level Agreement;;;;;;;;;;;;;;;;
;;;;;;;Simplified ticket resolution workflow;;;;;;;;;;;;;;;;
;;;;;;;24/7 IT Batch Operation Monitoring & Support;;;;;;;;;;;;;;;;
;;;;;;;Incident Severity definition;;;;;;;;;;;;;;;;
;Architecture ;;;;;;;;;;;;;;;;;;;;;;
;Legacy Modernization ;;;;;;;;;Relevant experience;;;;;;;;;;;;;
Success Stories and References ;Project Highlights and Technologies Used ;;;;;;;;;Relevant experience;;;;;;;;;;;;;
;Client Testimonials and Use Cases ;Use Case – Zero-Day Vulnerability;;;Use Case – Zero-Day Vulnerability;;Use Case – Zero-Day Vulnerability;;;;;;;;;;;;;;;;
;Client Success Stories ;Relevant experience;;;Relevant experience;;Relevant experience;;;Relevant experience;;Cybersecurity Portfolio;;;;;;;;;;;
;Company Portfolio ;Relevant experience;;The most popular services;;;Service Desk System;;;Relevant experience;;Cybersecurity Portfolio;;;;;;;;;;;
;;;;;;;Relevant experience;;;;;;;;;;;;;;;;
Proposal Library ;Proposal Templates and Presentation Decks ;AfterPDS template;;;Proposal - IT support and maintenance;;Application support;Angebot;;Preliminary budget and project timeline - Storefilter;;Security Operational Center (SOC);;;;;;;;;;;
;;PrePDS template;;;Help Desk/Customer Support;;Proposal - Email & Phone 24/7;;;Proposal scope clarification;;Application Development Costs;;;Proposal scope clarification;;;;;;;;
;;Onepager;;;Application Development Costs;;Application Development Costs;;;;;Proposal;;;;;;;;;;;
;;;;;HelpDesk - Template;;Proposal - Application support and maintenance - 24x7;;;;;Proposal scope clarification;;;;;;;;;;;
;;;;;Costs for Dedicated Help Desk Team ;;Costs for Shared Support team;;;;;Pentest template;;;;;;;;;;;
;;;;;;;Costs for Dedicated Help Desk Team ;;;;;;;;;;;;;;;;
;;;;;;;Application support;;;;;;;;;;;;;;;;
;;;;;;;Costs for option1/2;;;;;;;;;;;;;;;;
;Transition Slide Templates;Splitter;Splitter;Thank you for your attention!;;;;;;;;;;;;;;;;;;;
;;Cover Page - Key Contact;Cover Page;Cover page - Andersen: Managed services;;;;;;;;;;;;;;;;;;;
;;Case Studies;Case Studies;;;;;;;;;;;;;;;;;;;;
;;Featured managed services;Wir freuen uns auf auf eine erfolgreiche Partnerschaft!;;;;;;;;;;;;;;;;;;;;
;;We look forward to an amazing partnership!;;;;;;;;;;;;;;;;;;;;;
;;Additional  information;;;;;;;;;;;;;;;;;;;;;
;;Managed services;;;;;;;;;;;;;;;;;;;;;
;;Table of content;;;;;;;;;;;;;;;;;;;;;
;;Appendix;;;;;;;;;;;;;;;;;;;;;
;;References;;;;;;;;;;;;;;;;;;;;;
;;Commercials;;;;;;;;;;;;;;;;;;;;;
;;Technical approach;;;;;;;;;;;;;;;;;;;;;
;;SERVICE TRANSITION APPROACH;;;;;;;;;;;;;;;;;;;;;
;;Costs;;;;;;;;;;;;;;;;;;;;;
;;Assumptions;;;;;;;;;;;;;;;;;;;;;
;;Case Studies -  Confidential;;;;;;;;;;;;;;;;;;;;;
;;Application support & maintenance* ;;;;;;;;;;;;;;;;;;;;;
;;Further  Support services ;;;;;;;;;;;;;;;;;;;;;
;Customer FAQs and Response Library ;;;;;;;;;;;;;;;;;;;;;;
;Competitive Comparison ;;;;;;;;;;;;;;;;;;;;;;
;Lessons Learned ;;;;Lessons Learnt - web hosting;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Costs;;;;;;;;;;;;;;;;;;;;
;;Web hosting;;;;;;;;;;;;;;;;;;;;;
